# x y z u(x,y,z)
1 0 0.3 0
0 0.1 0.3 0
0.1 0.1 0.3 0.003
0.3 0.1 0.3 0.009
0.5 0.1 0.3 0.015
0.7 0.1 0.3 0.021
0.9 0.1 0.3 0.027
1 0.1 0.3 0.03
0 0.3 0.3 0
0.1 0.3 0.3 0.009
0.3 0.3 0.3 0.027
0.5 0.3 0.3 0.045
0.7 0.3 0.3 0.063
0.9 0.3 0.3 0.081
1 0.3 0.3 0.09
0 0.5 0.3 0
0.1 0.5 0.3 0.015
0.3 0.5 0.3 0.045
0.5 0.5 0.3 0.075
0.7 0.5 0.3 0.105
0.9 0.5 0.3 0.135
1 0.5 0.3 0.15
0 0.7 0.3 0
0.1 0.7 0.3 0.021
0.3 0.7 0.3 0.063
0.5 0.7 0.3 0.105
0.7 0.7 0.3 0.147
0.9 0.7 0.3 0.189
1 0.7 0.3 0.21
0 0.9 0.3 0
0.1 0.9 0.3 0.027
0.3 0.9 0.3 0.081
0.5 0.9 0.3 0.135
0.7 0.9 0.3 0.189
0.9 0.9 0.3 0.243
1 0.9 0.3 0.27
0 1 0.3 0
0.1 1 0.3 0.03
0.3 1 0.3 0.09
0.5 1 0.3 0.15
0.7 1 0.3 0.21
0.9 1 0.3 0.27
1 1 0.3 0.3
0 0 0.5 0
0.1 0 0.5 0
0.3 0 0.5 0
0.5 0 0.5 0
0.7 0 0.5 0
0.9 0 0.5 0
1 0 0.5 0
0 0.1 0.5 0
0.1 0.1 0.5 0.005
0.3 0.1 0.5 0.015
0.5 0.1 0.5 0.025
0.7 0.1 0.5 0.035
0.9 0.1 0.5 0.045
1 0.1 0.5 0.05
0 0.3 0.5 0
0.1 0.3 0.5 0.015
0.3 0.3 0.5 0.045
0.5 0.3 0.5 0.075
0.7 0.3 0.5 0.105
0.9 0.3 0.5 0.135
1 0.3 0.5 0.15
0 0.5 0.5 0
0.1 0.5 0.5 0.025
0.3 0.5 0.5 0.075
0.5 0.5 0.5 0.125
0.7 0.5 0.5 0.175
0.9 0.5 0.5 0.225
1 0.5 0.5 0.25
0 0.7 0.5 0
0.1 0.7 0.5 0.035
0.3 0.7 0.5 0.105
0.5 0.7 0.5 0.175
0.7 0.7 0.5 0.245
0.9 0.7 0.5 0.315
1 0.7 0.5 0.35
0 0.9 0.5 0
0.1 0.9 0.5 0.045
0.3 0.9 0.5 0.135
0.5 0.9 0.5 0.225
0.7 0.9 0.5 0.315
0.9 0.9 0.5 0.405
1 0.9 0.5 0.45
0 1 0.5 0
0.1 1 0.5 0.05
0.3 1 0.5 0.15
0.5 1 0.5 0.25
0.7 1 0.5 0.35
0.9 1 0.5 0.45
1 1 0.5 0.5
0 0 0.7 0
0.1 0 0.7 0
0.3 0 0.7 0
0.5 0 0.7 0
0.7 0 0.7 0
0.9 0 0.7 0
1 0 0.7 0
0 0.1 0.7 0
0.1 0.1 0.7 0.007
0.3 0.1 0.7 0.021
0.5 0.1 0.7 0.035
0.7 0.1 0.7 0.049
0.9 0.1 0.7 0.063
1 0.1 0.7 0.07
0 0.3 0.7 0
0.1 0.3 0.7 0.021
0.3 0.3 0.7 0.063
0.5 0.3 0.7 0.105
0.7 0.3 0.7 0.147
0.9 0.3 0.7 0.189
1 0.3 0.7 0.21
0 0.5 0.7 0
0.1 0.5 0.7 0.035
0.3 0.5 0.7 0.105
0.5 0.5 0.7 0.175
0.7 0.5 0.7 0.245
0.9 0.5 0.7 0.315
1 0.5 0.7 0.35
0 0.7 0.7 0
0.1 0.7 0.7 0.049
0.3 0.7 0.7 0.147
0.5 0.7 0.7 0.245
0.7 0.7 0.7 0.343
0.9 0.7 0.7 0.441
1 0.7 0.7 0.49
0 0.9 0.7 0
0.1 0.9 0.7 0.063
0.3 0.9 0.7 0.189
0.5 0.9 0.7 0.315
0.7 0.9 0.7 0.441
0.9 0.9 0.7 0.567
1 0.9 0.7 0.63
0 1 0.7 0
0.1 1 0.7 0.07
0.3 1 0.7 0.21
0.5 1 0.7 0.35
0.7 1 0.7 0.49
0.9 1 0.7 0.63
1 1 0.7 0.7
0 0 0.9 0
0.1 0 0.9 0
0.3 0 0.9 0
0.5 0 0.9 0
0.7 0 0.9 0
0.9 0 0.9 0
1 0 0.9 0
0 0.1 0.9 0
0.1 0.1 0.9 0.009
0.3 0.1 0.9 0.027
0.5 0.1 0.9 0.045
0.7 0.1 0.9 0.063
0.9 0.1 0.9 0.081
1 0.1 0.9 0.09
0 0.3 0.9 0
0.1 0.3 0.9 0.027
0.3 0.3 0.9 0.081
0.5 0.3 0.9 0.135
0.7 0.3 0.9 0.189
0.9 0.3 0.9 0.243
1 0.3 0.9 0.27
0 0.5 0.9 0
0.1 0.5 0.9 0.045
0.3 0.5 0.9 0.135
0.5 0.5 0.9 0.225
0.7 0.5 0.9 0.315
0.9 0.5 0.9 0.405
1 0.5 0.9 0.45
0 0.7 0.9 0
0.1 0.7 0.9 0.063
0.3 0.7 0.9 0.189
0.5 0.7 0.9 0.315
0.7 0.7 0.9 0.441
0.9 0.7 0.9 0.567
1 0.7 0.9 0.63
0 0.9 0.9 0
0.1 0.9 0.9 0.081
0.3 0.9 0.9 0.243
0.5 0.9 0.9 0.405
0.7 0.9 0.9 0.567
0.9 0.9 0.9 0.729
1 0.9 0.9 0.81
0 1 0.9 0
0.1 1 0.9 0.09
0.3 1 0.9 0.27
0.5 1 0.9 0.45
0.7 1 0.9 0.63
0.9 1 0.9 0.81
1 1 0.9 0.9
0 0 1 0
0.1 0 1 0
0.3 0 1 0
0.5 0 1 0
0.7 0 1 0
0.9 0 1 0
1 0 1 0
0 0.1 1 0
0.1 0.1 1 0.01
0.3 0.1 1 0.03
0.5 0.1 1 0.05
0.7 0.1 1 0.07
0.9 0.1 1 0.09
1 0.1 1 0.1
0 0.3 1 0
0.1 0.3 1 0.03
0.3 0.3 1 0.09
0.5 0.3 1 0.15
0.7 0.3 1 0.21
0.9 0.3 1 0.27
1 0.3 1 0.3
0 0.5 1 0
0.1 0.5 1 0.05
0.3 0.5 1 0.15
0.5 0.5 1 0.25
0.7 0.5 1 0.35
0.9 0.5 1 0.45
1 0.5 1 0.5
0 0.7 1 0
0.1 0.7 1 0.07
0.3 0.7 1 0.21
0.5 0.7 1 0.35
0.7 0.7 1 0.49
0.9 0.7 1 0.63
1 0.7 1 0.7
0 0.9 1 0
0.1 0.9 1 0.09
0.3 0.9 1 0.27
0.5 0.9 1 0.45
0.7 0.9 1 0.63
0.9 0.9 1 0.81
1 0.9 1 0.9
0 1 1 0
0.1 1 1 0.1
0.3 1 1 0.3
0.5 1 1 0.5
0.7 1 1 0.7
0.9 1 1 0.9
1 1 1 1
